person,number,tense,voice,mood,conjugation,ending 
first,singular,present,active,indicative,first,ō
second,singular,present,active,indicative,first,ās
third,singular,present,active,indicative,first,at
first,plural,present,active,indicative,first,āmus
second,plural,present,active,indicative,first,ātis
third,plural,present,active,indicative,first,ant
first,singular,present,active,indicative,second,eō
second,singular,present,active,indicative,second,ēs
third,singular,present,active,indicative,second,et
first,plural,present,active,indicative,second,ēmus
second,plural,present,active,indicative,second,ētis
third,plural,present,active,indicative,second,ent
first,singular,present,active,indicative,third,ō
second,singular,present,active,indicative,third,is
third,singular,present,active,indicative,third,it
first,plural,present,active,indicative,third,imus
second,plural,present,active,indicative,third,itis
third,plural,present,active,indicative,third,unt
first,singular,present,active,indicative,fourth,iō
second,singular,present,active,indicative,fourth,īs
third,singular,present,active,indicative,fourth,it
first,plural,present,active,indicative,fourth,īmus
second,plural,present,active,indicative,fourth,ītis
third,plural,present,active,indicative,fourth,iunt
first,singular,present,active,indicative,third/fourth,iō
second,singular,present,active,indicative,third/fourth,is
third,singular,present,active,indicative,third/fourth,it
first,plural,present,active,indicative,third/fourth,imus
second,plural,present,active,indicative,third/fourth,itis
third,plural,present,active,indicative,third/fourth,iunt
first,singular,future,active,indicative,first,ābō
second,singular,future,active,indicative,first,ābis
third,singular,future,active,indicative,first,ābit
first,plural,future,active,indicative,first,ābimus
second,plural,future,active,indicative,first,ābitis
third,plural,future,active,indicative,first,ābunt
first,singular,future,active,indicative,second,ēbō
second,singular,future,active,indicative,second,ēbis
third,singular,future,active,indicative,second,ēbit
first,plural,future,active,indicative,second,ēbimus
second,plural,future,active,indicative,second,ēbitis
third,plural,future,active,indicative,second,ēbunt
first,singular,future,active,indicative,third,am
second,singular,future,active,indicative,third,ēs
third,singular,future,active,indicative,third,et
first,plural,future,active,indicative,third,ēmus
second,plural,future,active,indicative,third,ētis
third,plural,future,active,indicative,third,ent
first,singular,future,active,indicative,fourth,iam
second,singular,future,active,indicative,fourth,iēs
third,singular,future,active,indicative,fourth,iet
first,plural,future,active,indicative,fourth,iēmus
second,plural,future,active,indicative,fourth,iētis
third,plural,future,active,indicative,fourth,ient
first,singular,future,active,indicative,third/fourth,iam
second,singular,future,active,indicative,third/fourth,iēs
third,singular,future,active,indicative,third/fourth,iet
first,plural,future,active,indicative,third/fourth,iēmus
second,plural,future,active,indicative,third/fourth,iētis
third,plural,future,active,indicative,third/fourth,ient
first,singular,imperfect,active,indicative,first,ābam
second,singular,imperfect,active,indicative,first,ābās
third,singular,imperfect,active,indicative,first,ābat
first,plural,imperfect,active,indicative,first,ābāmus
second,plural,imperfect,active,indicative,first,ābātis
third,plural,imperfect,active,indicative,first,ābant
first,singular,imperfect,active,indicative,second,ēbam
second,singular,imperfect,active,indicative,second,ēbās
third,singular,imperfect,active,indicative,second,ēbat
first,plural,imperfect,active,indicative,second,ēbāmus
second,plural,imperfect,active,indicative,second,ēbātis
third,plural,imperfect,active,indicative,second,ēbant
first,singular,imperfect,active,indicative,third,ēbam
second,singular,imperfect,active,indicative,third,ēbās
third,singular,imperfect,active,indicative,third,ēbat
first,plural,imperfect,active,indicative,third,ēbāmus
second,plural,imperfect,active,indicative,third,ēbātis
third,plural,imperfect,active,indicative,third,ēbant
first,singular,imperfect,active,indicative,fourth,iēbam
second,singular,imperfect,active,indicative,fourth,iēbās
third,singular,imperfect,active,indicative,fourth,iēbat
first,plural,imperfect,active,indicative,fourth,iēbāmus
second,plural,imperfect,active,indicative,fourth,iēbātis
third,plural,imperfect,active,indicative,fourth,iēbant
first,singular,imperfect,active,indicative,third/fourth,iēbam
second,singular,imperfect,active,indicative,third/fourth,iēbās
third,singular,imperfect,active,indicative,third/fourth,iēbat
first,plural,imperfect,active,indicative,third/fourth,iēbāmus
second,plural,imperfect,active,indicative,third/fourth,iēbātis
third,plural,imperfect,active,indicative,third/fourth,iēbant
first,singular,perfect,active,indicative,first,āvī
second,singular,perfect,active,indicative,first,āvistī
third,singular,perfect,active,indicative,first,āvit
first,plural,perfect,active,indicative,first,āvīmus
second,plural,perfect,active,indicative,first,āvistis
third,plural,perfect,active,indicative,first,āvērunt
first,singular,perfect,active,indicative,second,uī
second,singular,perfect,active,indicative,second,uistī
third,singular,perfect,active,indicative,second,uit
first,plural,perfect,active,indicative,second,uīmus
second,plural,perfect,active,indicative,second,uistis
third,plural,perfect,active,indicative,second,uērunt
first,singular,perfect,active,indicative,third,ī
second,singular,perfect,active,indicative,third,istī
third,singular,perfect,active,indicative,third,it
first,plural,perfect,active,indicative,third,īmus
second,plural,perfect,active,indicative,third,istis
third,plural,perfect,active,indicative,third,ērunt
first,singular,perfect,active,indicative,fourth,īvī
second,singular,perfect,active,indicative,fourth,īvistī
third,singular,perfect,active,indicative,fourth,īvit
first,plural,perfect,active,indicative,fourth,īvīmus
second,plural,perfect,active,indicative,fourth,īvistis
third,plural,perfect,active,indicative,fourth,īvērunt
first,singular,perfect,active,indicative,third/fourth,ī
second,singular,perfect,active,indicative,third/fourth,istī
third,singular,perfect,active,indicative,third/fourth,it
first,plural,perfect,active,indicative,third/fourth,īmus
second,plural,perfect,active,indicative,third/fourth,istis
third,plural,perfect,active,indicative,third/fourth,ērunt
first,singular,pluperfect,active,indicative,first,āveram 
second,singular,pluperfect,active,indicative,first,āverās
third,singular,pluperfect,active,indicative,first,āverat
first,plural,pluperfect,active,indicative,first,āverāmus
second,plural,pluperfect,active,indicative,first,āverātis
third,plural,pluperfect,active,indicative,first,āverant
first,singular,pluperfect,active,indicative,second,ueram 
second,singular,pluperfect,active,indicative,second,uerās
third,singular,pluperfect,active,indicative,second,uerat
first,plural,pluperfect,active,indicative,second,uerāmus
second,plural,pluperfect,active,indicative,second,uerātis
third,plural,pluperfect,active,indicative,second,uerant
first,singular,pluperfect,active,indicative,third,eram 
second,singular,pluperfect,active,indicative,third,erās
third,singular,pluperfect,active,indicative,third,erat
first,plural,pluperfect,active,indicative,third,erāmus
second,plural,pluperfect,active,indicative,third,erātis
third,plural,pluperfect,active,indicative,third,erant
first,singular,pluperfect,active,indicative,fourth,īveram 
second,singular,pluperfect,active,indicative,fourth,īverās
third,singular,pluperfect,active,indicative,fourth,īverat
first,plural,pluperfect,active,indicative,fourth,īverāmus
second,plural,pluperfect,active,indicative,fourth,īverātis
third,plural,pluperfect,active,indicative,fourth,īverant
